,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
45,45,,,,,,,10059.0,,Associate's--Public Urban-serving Multicampus,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Mobile,,6173.0,COED,Associate,30.694,-88.057,27400,22300,22600,18600,Public,0.0149,0.672,0.66000002622604,0.0152,,0.3547,0.568,0.6352,,0.2551,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Bishop State Community College,www.bishop.edu,5734.0,AL,4200.0,7530.0,102030,3363.0,36603-5898,0.43999999761581,15282.58
46,46,26.0,27.0,24.0,,0.7697,,38835.0,,Master's Colleges and Universities (medium programs),"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, selective, lower transfer-in",Birmingham,0.692,8261.0,COED,Graduate,33.4646,-86.7909,57900,41000,45800,36400,Private nonprofit,0.008,0.0664,0.64999997615814,0.0664,,0.0504,0.9939,0.1494,,0.8114,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Baptist,560.0,1153.0,565.0,555.0,Samford University,www.samford.edu,14054.0,AL,26328.0,26328.0,102049,2995.0,35229-2240,0.12999999523162,92968.08
47,47,,,,,,,11187.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Selma,0.2133,3232.0,COED,Graduate,32.4204,-87.0338,,PrivacySuppressed,,PrivacySuppressed,Private nonprofit,0.0,0.9664,,0.0,,0.2841,0.84,0.75,,0.0336,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Baptist,,,,,Selma University,selmauniversity.org,3672.0,AL,5840.0,5840.0,102058,447.0,36701,,
48,48,,,,,,,13007.0,,Associate's--Public Rural-serving Large,"Medium 2-year (2000 to 4,999)",Medium full-time two-year,Tuscaloosa,,4584.0,COED,Associate,33.1205,-87.5615,28500,23600,24300,20000,Public,0.0111,0.347,0.62999999523162,0.0047,,0.495,0.4248,0.5217,,0.5526,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Shelton State Community College,www.sheltonstate.edu,4407.0,AL,3900.0,7230.0,102067,4859.0,35405-8522,0.31000000238418,17692.62
49,49,,,,,,,9622.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Boaz,,4693.0,COED,Associate,34.2007,-86.1695,29300,23900,26000,20100,Public,0.0079,0.0551,0.68999999761581,0.0689,,0.2883,0.2986,0.5743,,0.8242,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Snead State Community College,www.snead.edu,3589.0,AL,4260.0,7590.0,102076,2161.0,35957-0734,0.43999999761581,20478.02
50,50,23.0,24.0,22.0,7.0,0.8604,,17125.0,,Research Universities (high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Medium full-time four-year, selective, higher transfer-in",Mobile,0.3342,7212.0,COED,Graduate,30.6951,-88.1819,45200,34400,38300,30200,Public,0.0337,0.229,0.64999997615814,0.0246,,0.2076,0.6418,0.3743,,0.6374,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,500.0,1064.0,495.0,470.0,University of South Alabama,www.southalabama.edu,10325.0,AL,6948.0,13596.0,102094,11048.0,36688-0002,0.31999999284744,45401.94
51,51,24.0,25.0,23.0,7.0,0.4627,,43325.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",Mobile,0.5632,6057.0,COED,Graduate,30.6948,-88.1382,50000,34700,43800,33400,Private nonprofit,0.0071,0.1608,0.70999997854232,0.0875,,0.0504,0.597,0.3328,,0.6643,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Roman Catholic,540.0,1100.0,540.0,545.0,Spring Hill College,www.shc.edu,6999.0,AL,30924.0,30924.0,102234,1269.0,36608-1791,0.12999999523162,78659.44
52,52,21.0,20.0,20.0,,0.9615,,19127.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Birmingham,0.1935,4577.0,COED,Bachelors,33.3789,-86.749,35000,34000,28800,29800,Private nonprofit,0.0,0.2938,0.38999998569488,0.0313,,0.1875,1.0,0.6089,,0.625,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,970.0,,,Southeastern Bible College,www.sebc.edu,4314.0,AL,11370.0,11370.0,102261,160.0,35224-2083,0.44999998807907,50567.09
53,53,19.0,18.0,17.0,,0.43,,24744.0,,Baccalaureate Colleges--Arts & Sciences,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, inclusive",Tuscaloosa,0.2619,4743.0,COED,Bachelors,33.1992,-87.5852,27900,27400,24700,20800,Private nonprofit,0.0023,0.9224,0.43000000715255,0.0104,,0.0637,1.0,0.7429,,0.0626,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Presbyterian Church (USA),411.0,882.0,400.0,,Stillman College,www.stillman.edu,4330.0,AL,15901.0,15901.0,102270,863.0,35403,0.07000000029802,35064.97
54,54,,,,,,,18758.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, inclusive",Talladega,0.824,5063.0,COED,Bachelors,33.4343,-86.1137,27300,17900,25600,15000,Private nonprofit,0.0045,0.8949,0.60000002384185,0.0257,,0.0503,0.8182,0.9663,,0.0391,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",United Church of Christ,,,,,Talladega College,www.talladega.edu,6876.0,AL,11492.0,11492.0,102298,894.0,35160,0.11999999731779,26845.86
55,55,,,,,,,9955.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Medium full-time two-year,Montgomery,,6058.0,COED,Associate,32.3501,-86.3431,25800,22400,21000,19000,Public,0.0095,0.5523,0.66000002622604,0.0048,,0.4374,0.6636,0.6097,,0.4263,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,H Councill Trenholm State Technical College,www.trenholmstate.edu,8051.0,AL,3288.0,5952.0,102313,1262.0,36108-3199,0.52999997138977,15384.12
56,56,21.0,22.0,21.0,,0.6821,,16877.0,,Master's Colleges and Universities (larger programs),"Large 4-year, primarily residential (over 9,999)",Higher part-time four-year,Troy,0.3466,5996.0,COED,Graduate,31.8001,-85.9502,39500,33600,36600,30300,Public,0.0083,0.3672,0.70999997854232,0.0297,,0.438,0.4007,0.4758,,0.4908,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,990.0,,,Troy University,www.troy.edu,5260.0,AL,7276.0,13612.0,102368,16208.0,36082-0001,0.57999998331069,38308.15
57,57,20.0,20.0,19.0,,0.3511,,32853.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, inclusive",Tuskegee,0.4384,6679.0,COED,Graduate,32.431,-85.7103,42500,30600,37100,25100,Private nonprofit,0.0008,0.7752,0.52999997138977,0.0019,,0.0449,0.9685,0.6453,,0.0019,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,460.0,937.0,455.0,,Tuskegee University,www.tuskegee.edu,13235.0,AL,18900.0,18900.0,102377,2584.0,36088-1920,0.01999999955296,51894.99
58,58,,,,,,,,,Special Focus Institutions--Other special-focus institutions,,,Daphne,,5755.0,COED,Graduate,30.6393,-87.9116,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private nonprofit,0.025,0.1125,0.12999999523162,0.0875,,0.825,0.2258,0.4701,,0.2125,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,United States Sports Academy,www.ussa.edu,3428.0,AL,,,102395,80.0,36526-7055,0.75999999046325,38529.48
59,59,,,,,,,13443.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Jasper,,6153.0,COED,Associate,33.8358,-87.265,29800,25900,25900,22300,Public,0.0044,0.1541,0.70999997854232,0.014,,0.4384,0.3519,0.5844,,0.8032,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Bevill State Community College,www.bscc.edu,6162.0,AL,4230.0,7560.0,102429,3212.0,35501,0.44999998807907,18707.51
60,60,,,,,,,13180.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily nonresidential (3,000 to 9,999)",Higher part-time four-year,Anchorage,0.2547,8471.0,COED,Graduate,61.1896,-149.8261,45500,40800,42000,36100,Public,0.0722,0.0361,0.62999999523162,0.0735,,0.4516,0.8852,0.2473,,0.5759,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,University of Alaska Anchorage,www.uaa.alaska.edu,9844.0,AK,5147.0,15206.0,102553,13116.0,99508,0.43999999761581,52227.99
61,61,,,,,,,13380.0,,,,,Palmer,,2500.0,COED,Bachelors,62.113,-145.5262,,,,,Private nonprofit,0.0,0.0,,0.0385,,0.1923,,0.2182,,0.8846,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",Undenominational,,,,,Alaska Bible College,www.akbible.edu/,14539.0,AK,9200.0,9200.0,102580,26.0,99645,,
62,62,,,,,,,15035.0,,Research Universities (high research activity),"Medium 4-year, primarily residential (3,000 to 9,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Fairbanks,0.309,8842.0,COED,Graduate,64.8571,-147.8248,43300,35000,38200,30900,Public,0.0133,0.0229,0.57999998331069,0.0504,,0.3795,0.9141,0.2349,,0.4486,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,University of Alaska Fairbanks,www.uaf.edu,16400.0,AK,4984.0,15560.0,102614,5729.0,99775-7500,0.36000001430511,49787.78
63,63,,,,,,,16409.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, primarily nonresidential (1,000 to 2,999)",Higher part-time four-year,Juneau,0.1389,8027.0,COED,Graduate,58.3843,-134.6363,41700,32400,39500,29600,Public,0.0276,0.0081,0.66000002622604,0.0551,,0.4899,0.912,0.1834,,0.4751,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,University of Alaska Southeast,www.uas.alaska.edu,11626.0,AK,5693.0,16269.0,102632,1488.0,99801-8697,0.47999998927116,47284.57
64,64,22.0,21.0,21.0,,0.3745,,42925.0,,Master's Colleges and Universities (smaller programs),"Very small 4-year, primarily residential (less than 1,000)",Higher part-time four-year,Anchorage,0.3902,5137.0,COED,Graduate,61.1912,-149.8042,49300,39900,47400,41100,Private nonprofit,0.0176,0.0294,0.63999998569488,0.0353,,0.3853,1.0,0.2791,,0.5441,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",United Methodist,480.0,1008.0,520.0,502.0,Alaska Pacific University,www.alaskapacific.edu,10753.0,AK,29810.0,29810.0,102669,340.0,99508,0.43000000715255,65433.53
65,65,,,,,0.4888,,,,,,,Seward,,6256.0,COED,Associate,60.1107,-149.4446,41400,35900,30100,31800,Public,0.0082,0.0171,0.31999999284744,0.0364,,0.7765,1.0,0.1163,,0.5702,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,AVTEC-Alaska's Institute of Technology,www.avtec.edu/,21543.0,AK,,,102711,1347.0,99664-0889,0.54000002145767,31946.82
66,66,,,,,,,21163.0,,Baccalaureate/Associate's Colleges,"Very small 4-year, primarily nonresidential (less than 1,000,)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Anchorage,0.3534,3949.0,COED,Bachelors,61.1958,-149.8402,46600,36500,42000,33500,Private for-profit,0.0196,0.0374,0.68000000715255,0.3241,,0.0,0.2115,0.6598,,0.429,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Charter College-Anchorage,www.chartercollege.edu,6073.0,AK,19882.0,19882.0,102845,2191.0,99508,0.73000001907348,47041.46
67,67,,,,,,,12434.0,,Associate's--Public Rural-serving Medium,Very small 2-year (less than 500),Higher part-time two-year,Valdez,,7202.0,COED,Associate,61.1224,-146.178,45500,40800,42000,36100,Public,0.0,0.0,0.62999999523162,0.0672,,0.6493,0.8889,0.2092,,0.3657,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Prince William Sound Community College,www.pwscc.edu,9474.0,AK,4448.0,4448.0,103361,134.0,99686-0097,0.43999999761581,52227.99
68,68,,,,,,,,17095.0,,,,Anchorage,,3359.0,COED,Associate,61.1814,-149.857,31200,28500,30900,29300,Private for-profit,0.1493,0.1164,0.85000002384185,0.0806,,0.0,0.3714,0.6181,,0.4,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Alaska Career College,www.alaskacareercollege.edu,1894.0,AK,,,103501,335.0,99507-1033,0.62999999523162,29519.52
69,69,,,,,,,25089.0,,Associate's--Private For-profit 4-year Primarily Associate's,"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Full-time four-year, inclusive",Phoenix,0.3175,7411.0,COED,Bachelors,33.581,-112.1138,29600,24600,28300,23500,Private for-profit,0.0058,0.3158,0.81000000238418,0.1268,,0.4611,,0.8264,,0.389,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Everest College-Phoenix,www.everestcollegephoenix.edu,8489.0,AZ,12960.0,12960.0,103644,2761.0,85021-1641,0.66000002622604,27843.76
70,70,,,,,,,,,"Special Focus Institutions--Schools of art, music, and design",,,Phoenix,0.3773,4869.0,COED,Bachelors,33.4033,-111.9865,29100,24100,25200,21000,Private for-profit,0.0079,0.0827,0.23000000417232,0.1614,,0.189,,0.7475,,0.3465,Bachelors,"Southwest (AZ, NM, OK, TX)",,,,,,Collins College,www.collinscollege.edu,5313.0,AZ,,,103723,254.0,85040,0.30000001192092,46288.69
71,71,,,,,,,,15718.0,,,,Phoenix,,,COED,Certificate,33.6026,-111.9764,26600,17800,19300,14000,Private for-profit,0.0,0.0698,0.95999997854232,0.1628,,0.2093,,0.6598,,0.6047,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Empire Beauty School-Paradise Valley,www.empire.edu,11911.0,AZ,,,103732,43.0,85032,0.56000000238418,42591.96
72,72,,,,,,,,17171.0,,,,Tucson,,,COED,Certificate,32.2357,-110.9272,22700,20000,16400,17800,Private for-profit,0.0114,0.1029,0.97000002861022,0.5657,,0.2,,0.7843,,0.2343,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Empire Beauty School-Tucson,www.empire.edu,6749.0,AZ,,,103741,175.0,85716,0.47999998927116,35337.45
73,73,,,,,,,,,Special Focus Institutions--Schools of business and management,,,Glendale,,10953.0,COED,Graduate,33.6209,-112.1809,PrivacySuppressed,102400,PrivacySuppressed,97400,Private nonprofit,0.0,0.0,0.34000000357627,0.0,,1.0,0.6027,0.0,,1.0,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Thunderbird School of Global Management,www.thunderbird.edu,53366.0,AZ,,,103778,2.0,85306-6000,0.97000002861022,36890.28
74,74,,,,,,,20601.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, inclusive",Phoenix,0.5,1954.0,COED,Bachelors,33.5777,-112.0922,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private nonprofit,0.0,0.1169,0.62999999523162,0.1948,,0.1169,1.0,0.7945,,0.0649,Bachelors,"Southwest (AZ, NM, OK, TX)",Assemblies of God Church,,,,,American Indian College of the Assemblies of God Inc,www.aicag.edu/,6669.0,AZ,12000.0,12000.0,103787,77.0,85021,0.43999999761581,18945.46
75,75,,,,,,,,21896.0,,,,Phoenix,,,COED,Certificate,33.4423,-112.1753,31800,29100,30700,27300,Private for-profit,0.0144,0.241,0.15000000596046,0.1331,,0.0,,0.4933,,0.5144,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,American Institute of Technology,www.ait-schools.com,3061.0,AZ,,,103811,278.0,85043-4729,0.9200000166893,27750.39
76,76,,,,,1.0,,,24417.0,Associate's--Private For-profit,"Large 2-year ( 5000 to 9,999)",Higher full-time two-year,Phoenix,0.6443,3613.0,COED,Bachelors,33.5608,-112.1155,28400,23900,26200,22300,Private for-profit,0.0044,0.0784,0.83999997377395,0.5429,,0.0,0.5357,0.7255,,0.2618,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Carrington College-Phoenix,www.carrington.edu,2326.0,AZ,,,103893,676.0,85051-4063,0.5,26386.56
77,77,,,,,1.0,,,26492.0,,,,Mesa,,4133.0,COED,Associate,33.393,-111.8553,28400,23900,26200,22300,Private for-profit,0.026,0.0463,,0.3343,,0.097,0.24,0.7296,,0.4486,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Carrington College-Mesa,www.carrington.edu,4729.0,AZ,,,103909,691.0,85210,,
78,78,,,,,1.0,,,24529.0,,,,Tucson,,3036.0,COED,Associate,32.2709,-110.978,28400,23900,26200,22300,Private for-profit,0.0023,0.0364,,0.6136,,0.0068,0.4211,0.6507,,0.2614,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Carrington College-Tucson,www.carrington.edu,2549.0,AZ,,,103927,440.0,85705-5885,,
79,79,,,,,,,26842.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Flagstaff,0.4667,3960.0,COED,Bachelors,35.2112,-111.6048,PrivacySuppressed,20400,PrivacySuppressed,19400,Private nonprofit,0.0,0.0144,0.79000002145767,0.1053,,0.0,0.5833,0.8431,,0.2727,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,College America-Flagstaff,www.collegeamerica.edu,3013.0,AZ,17211.0,17211.0,103945,209.0,86004,0.47999998927116,24087.91
80,80,,,,,,,,16550.0,,,,Tucson,,,COED,Certificate,32.2373,-110.8723,20000,14500,17600,14300,Private for-profit,0.0213,0.0213,0.94999998807907,0.4894,,0.0,,0.575,,0.383,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Arizona Academy of Beauty-East,www.arizonaacademy.com,3599.0,AZ,,,103954,47.0,85712,0.54000002145767,20300.36
81,81,,,,,,,,32627.0,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Glendale,,,COED,Certificate,33.5372,-112.1573,35700,27500,33900,24400,Private for-profit,0.0079,0.1129,0.07000000029802,0.3149,,0.0,,0.7742,,0.3723,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Arizona Automotive Institute,www.aai.edu,5391.0,AZ,,,103963,505.0,85301-3579,0.46000000834465,29790.69
82,82,,,,,,,,29302.0,Baccalaureate/Associate's Colleges,"Small 4-year, primarily nonresidential (1,000 to 2,999)","Full-time four-year, inclusive",Phoenix,0.4664,4757.0,COED,Bachelors,33.5254,-112.1501,24100,20500,22300,17700,Private for-profit,0.0193,0.2077,0.86000001430511,0.2512,,0.0,0.3235,0.6609,,0.3249,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Brookline College-Phoenix,www.brooklinecollege.edu,8116.0,AZ,,,104090,828.0,85021,0.56000000238418,14933.38
83,83,25.0,25.0,26.0,,0.8023,,21960.0,,Research Universities (very high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Full-time four-year, selective, higher transfer-in",Tempe,0.5947,10405.0,COED,Graduate,33.4219,-111.94,52400,39500,45200,36300,Public,0.0677,0.0398,0.55000001192092,0.1853,,0.0943,0.8787,0.3376,,0.5755,Bachelors,"Southwest (AZ, NM, OK, TX)",,585.0,1145.0,560.0,,Arizona State University-Tempe,www.asu.edu/,9080.0,AZ,9861.0,23654.0,104151,38480.0,85287,0.25,63334.02
84,84,,,,,,,14337.0,,Associate's--Public Rural-serving Large,"Medium 2-year (2000 to 4,999)",Higher part-time two-year,Yuma,,9023.0,COED,Associate,32.6893,-114.496,29900,24400,25600,21000,Public,0.0106,0.0325,0.61000001430511,0.6517,,0.6318,0.3008,0.5803,,0.1892,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Arizona Western College,www.azwestern.edu,5028.0,AZ,2420.0,7895.0,104160,7442.0,85365-8834,0.31000000238418,26208.62
85,85,24.0,,,,0.7692,,23905.0,,Research Universities (very high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Full-time four-year, selective, higher transfer-in",Tucson,0.6139,10320.0,COED,Graduate,32.2321,-110.9508,53100,38300,44400,33500,Public,0.0561,0.0333,0.55000001192092,0.2444,,0.099,0.7478,0.3265,,0.5464,Bachelors,"Southwest (AZ, NM, OK, TX)",,565.0,1106.0,542.0,535.0,University of Arizona,www.arizona.edu,11382.0,AZ,10391.0,27383.0,104179,31399.0,85721-0066,0.17000000178813,68621.67
86,86,,,,,,,49519.0,,"Special Focus Institutions--Schools of art, music, and design",,,Tucson,0.8333,3141.0,COED,Bachelors,32.2524,-110.9273,29000,24900,27500,23900,Private for-profit,0.0093,0.0648,0.69999998807907,0.287,,0.4167,0.5652,0.5308,,0.5324,Bachelors,"Southwest (AZ, NM, OK, TX)",,,,,,Southwest University of Visual Arts-Tucson,www.suva.edu,3390.0,AZ,34541.0,34541.0,104188,216.0,85716,0.47999998927116,45547.82
87,87,,,,,,,,15900.0,,,,Scottsdale,,,COED,Certificate,33.624,-111.9255,23700,22800,19900,20100,Private for-profit,0.0044,0.0531,0.88999998569488,0.1858,,0.4292,,0.5724,,0.6637,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Brillare Hairdressing Academy,www.brillare.com/,5643.0,AZ,,,104294,226.0,85254,0.31000000238418,67168.39
88,88,,,,,,,9205.0,,Associate's--Public Suburban-serving Multicampus,"Medium 2-year (2000 to 4,999)",Higher part-time two-year,Coolidge,,6164.0,COED,Associate,32.9571,-111.6525,31200,25800,28700,21900,Public,0.0157,0.0751,0.69999998807907,0.2697,,0.6335,1.0,0.4644,,0.4713,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Central Arizona College,www.centralaz.edu,5725.0,AZ,2310.0,10260.0,104346,5462.0,85128-9030,0.5,27253.57
89,89,,,,,,,24344.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, inclusive",Tucson,0.1622,4926.0,COED,Bachelors,32.2367,-110.8951,29100,26800,25200,25500,Private for-profit,0.0175,0.1228,0.62999999523162,0.4137,,0.0,0.0667,0.8355,,0.3596,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Brown Mackie College-Tucson,www.brownmackie.edu,2554.0,AZ,13194.0,13194.0,104364,684.0,85712,0.58999997377395,23479.05
90,90,,,,,,,,13838.0,,,,Lake Havasu City,,,COED,Certificate,34.4753,-114.3281,21200,15900,16500,15600,Private for-profit,0.0,0.0843,0.94999998807907,0.1205,,0.0,,0.6291,,0.7952,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Charles of Italy Beauty College,www.charlesofitaly.edu,1485.0,AZ,,,104391,83.0,86403,0.46000000834465,28904.91
91,91,,,,,,,9792.0,,Associate's--Public Rural-serving Large,"Medium 2-year (2000 to 4,999)",Higher part-time two-year,Douglas,,6249.0,COED,Associate,31.3658,-109.6904,37500,27700,31200,22600,Public,0.0172,0.0562,0.62000000476837,0.4423,,0.5862,0.2638,0.308,,0.4212,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Cochise College,www.cochise.edu,2803.0,AZ,1752.0,6000.0,104425,3787.0,85607-6190,0.47999998927116,24856.53
92,92,,,,,,,,17217.0,,,,Flagstaff,,,COED,Certificate,35.1972,-111.6259,22100,19700,16900,16700,Private for-profit,0.0,0.0,0.93999999761581,0.1698,,0.0,,0.7474,,0.4906,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Empire Beauty School-Flagstaff,www.empire.edu,6952.0,AZ,,,104434,53.0,86004,0.52999997138977,37036.77
